title,author,goodreads_url,cover_url,avg_rating,num_ratings,year_published,shelf
"Legendborn (The Legendborn Cycle, #1)",Tracy Deonn,https://www.goodreads.com/book/show/50892338-legendborn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598382979l/50892338._SY75_.jpg,4.29,196560.0,2020.0,african-fantasy
Dazzling (Hardcover),Chịkọdịlị Emelụmadụ,https://www.goodreads.com/book/show/98654090-dazzling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675523038l/98654090._SY75_.jpg,3.65,639.0,2023.0,african-fantasy
"Soul of the Deep (Skin of the Sea, #2)",Natasha Bowen,https://www.goodreads.com/book/show/60012953-soul-of-the-deep,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646919800l/60012953._SX50_.jpg,3.9,3741.0,2022.0,african-fantasy
"The Unbroken (Magic of the Lost, #1)",C.L. Clark,https://www.goodreads.com/book/show/54467051-the-unbroken,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1595284077l/54467051._SY75_.jpg,3.81,14062.0,2021.0,african-fantasy
"Children of Anguish and Anarchy (Legacy of Orïsha, #3)",Tomi Adeyemi,https://www.goodreads.com/book/show/68310983-children-of-anguish-and-anarchy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1706806004l/68310983._SY75_.jpg,3.41,18754.0,2024.0,african-fantasy
"The Final Strife (Ending Fire, #1)",Saara El-Arifi,https://www.goodreads.com/book/show/54440543-the-final-strife,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1640248887l/54440543._SY75_.jpg,4.17,9526.0,2022.0,african-fantasy
The Deep (Hardcover),Rivers Solomon,https://www.goodreads.com/book/show/42201962-the-deep,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549411869l/42201962._SY75_.jpg,3.77,41144.0,2019.0,african-fantasy
"War Girls (War Girls, #1)",Tochi Onyebuchi,https://www.goodreads.com/book/show/40580686-war-girls,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552511346l/40580686._SY75_.jpg,3.73,3194.0,2019.0,african-fantasy
"Rosewater (The Wormwood Trilogy, #1)",Tade Thompson,https://www.goodreads.com/book/show/38362809-rosewater,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534300082l/38362809._SX50_.jpg,3.74,17218.0,2017.0,african-fantasy
"Everfair (Everfair, #1)",Nisi Shawl,https://www.goodreads.com/book/show/26114130-everfair,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445423571l/26114130._SY75_.jpg,3.19,2984.0,2016.0,african-fantasy
Zoo City (Paperback),Lauren Beukes,https://www.goodreads.com/book/show/7163862-zoo-city,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1303632588l/7163862._SY75_.jpg,3.62,11659.0,2010.0,african-fantasy
"The Night Masquerade (Binti, #3)",Nnedi Okorafor,https://www.goodreads.com/book/show/34386617-the-night-masquerade,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495725402l/34386617._SY75_.jpg,3.99,23526.0,2018.0,african-fantasy
"Home (Binti, #2)",Nnedi Okorafor,https://www.goodreads.com/book/show/30038654-home,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470413227l/30038654._SY75_.jpg,4.03,30462.0,2017.0,african-fantasy
"The Memory of the Ogisi (The Forever Desert, #3)",Moses Ose Utomi,https://www.goodreads.com/book/show/217387790-the-memory-of-the-ogisi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1723407778l/217387790._SY75_.jpg,4.05,765.0,2025.0,african-fantasy
Firstborn of the Sun (Hardcover),Marvellous Michael Anson,https://www.goodreads.com/book/show/206025428-firstborn-of-the-sun,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1741223091l/206025428._SY75_.jpg,4.12,323.0,2025.0,african-fantasy
The Oracle Asylum (Unknown Binding),N. Sonia Nkera,https://www.goodreads.com/book/show/227397436-the-oracle-asylum,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738835088l/227397436._SY75_.jpg,4.27,162.0,,african-fantasy
"Immortal Dark (Immortal Dark Trilogy, #1)",Tigest Girma,https://www.goodreads.com/book/show/204593711-immortal-dark,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1729540210l/204593711._SY75_.jpg,3.7,29707.0,2024.0,african-fantasy
"In the Shadow of the Fall (Guardians of the Gods, #1)",Tobi Ogundiran,https://www.goodreads.com/book/show/195790546-in-the-shadow-of-the-fall,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701223688l/195790546._SY75_.jpg,3.88,1006.0,2024.0,african-fantasy
"Blood, Flesh, & Magic (Kindle Edition)",Viano Oniomoh,https://www.goodreads.com/book/show/204233775-blood-flesh-magic,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703209426l/204233775._SY75_.jpg,4.41,76.0,2023.0,african-fantasy
Goddess Crown (Kindle Edition),Shade Lapite,https://www.goodreads.com/book/show/59603329-goddess-crown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684781678l/59603329._SY75_.jpg,3.6,443.0,,african-fantasy
King of Dead Things (King of Dead Things Duology),Nevin Holness,https://www.goodreads.com/book/show/176442875-king-of-dead-things,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688314797l/176442875._SY75_.jpg,4.02,215.0,,african-fantasy
Masquerade (Hardcover),O.O. Sangoyomi,https://www.goodreads.com/book/show/195790999-masquerade,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1696755780l/195790999._SX50_.jpg,3.9,4868.0,2024.0,african-fantasy
"Forged by Blood (The Tainted Blood Duology, #1)",Ehigbor Okosun,https://www.goodreads.com/book/show/63313283-forged-by-blood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687767560l/63313283._SY75_.jpg,3.44,2496.0,2023.0,african-fantasy
"Shadow Blade (Shadowchasers, #1)",Seressia Glass,https://www.goodreads.com/book/show/6611059-shadow-blade,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390724454l/6611059._SY75_.jpg,3.56,1348.0,2010.0,african-fantasy
"A Dead Djinn in Cairo (Dead Djinn Universe, #0.1)",P. Djèlí Clark,https://www.goodreads.com/book/show/29635542-a-dead-djinn-in-cairo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459173382l/29635542._SX50_.jpg,4.0,19935.0,2016.0,african-fantasy
"Song of Blood & Stone (Earthsinger Chronicles, #1)",L. Penelope,https://www.goodreads.com/book/show/39863207-song-of-blood-stone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556158734l/39863207._SY75_.jpg,3.7,3526.0,2015.0,african-fantasy
"Moon Witch, Spider King (The Dark Star Trilogy #2)",Marlon James,https://www.goodreads.com/book/show/33832433-moon-witch-spider-king,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630425388l/33832433._SY75_.jpg,4.16,5367.0,2022.0,african-fantasy
"The Merciless Ones (Deathless, #2)",Namina Forna,https://www.goodreads.com/book/show/40126014-the-merciless-ones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1625497409l/40126014._SY75_.jpg,3.89,12986.0,2022.0,african-fantasy
Conjure Women (Hardcover),Afia Atakora,https://www.goodreads.com/book/show/51220325-conjure-women,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564443046l/51220325._SY75_.jpg,3.87,18925.0,2020.0,african-fantasy
"The Haunting of Tram Car 015 (Dead Djinn Universe, #0.3)",P. Djèlí Clark,https://www.goodreads.com/book/show/36546128-the-haunting-of-tram-car-015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1537226167l/36546128._SY75_.jpg,3.96,17963.0,2019.0,african-fantasy
The Palm-Wine Drinkard (Paperback),Amos Tutuola,https://www.goodreads.com/book/show/944103.The_Palm_Wine_Drinkard,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1708204593l/944103._SY75_.jpg,3.71,3890.0,1952.0,african-fantasy
"A Master of Djinn (Dead Djinn Universe, #1)",P. Djèlí Clark,https://www.goodreads.com/book/show/52504334-a-master-of-djinn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600715136l/52504334._SY75_.jpg,3.99,36634.0,2021.0,african-fantasy
"A River of Royal Blood (A River of Royal Blood, #1)",Amanda  Joy,https://www.goodreads.com/book/show/37538577-a-river-of-royal-blood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552918615l/37538577._SY75_.jpg,3.8,4521.0,2019.0,african-fantasy
What It Means When a Man Falls from the Sky (Hardcover),Lesley Nneka Arimah,https://www.goodreads.com/book/show/31522415-what-it-means-when-a-man-falls-from-the-sky,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474622115l/31522415._SY75_.jpg,4.08,16469.0,2017.0,african-fantasy
"Witches Steeped in Gold (Witches Steeped in Gold, #1)",Ciannon Smart,https://www.goodreads.com/book/show/51813582-witches-steeped-in-gold,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592429447l/51813582._SY75_.jpg,3.19,6362.0,2021.0,african-fantasy
"Wings of Ebony (Wings of Ebony, #1)",J. Elle,https://www.goodreads.com/book/show/54304072-wings-of-ebony,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597214105l/54304072._SY75_.jpg,3.84,5556.0,2021.0,african-fantasy
Blood Scion (Blood Scion #1),Deborah Falaye,https://www.goodreads.com/book/show/58329290-blood-scion,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1623940937l/58329290._SY75_.jpg,3.86,4303.0,2022.0,african-fantasy
"The Empire of Gold (The Daevabad Trilogy, #3)",S.A. Chakraborty,https://www.goodreads.com/book/show/52166786-the-empire-of-gold,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572578104l/52166786._SY75_.jpg,4.49,77529.0,2020.0,african-fantasy
An Unkindness of Ghosts (Paperback),Rivers Solomon,https://www.goodreads.com/book/show/34381254-an-unkindness-of-ghosts,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488470439l/34381254._SY75_.jpg,3.95,22071.0,2017.0,african-fantasy
"Beasts Made of Night (Beasts Made of Night, #1)",Tochi Onyebuchi,https://www.goodreads.com/book/show/33395234-beasts-made-of-night,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491088210l/33395234._SY75_.jpg,3.26,5361.0,2017.0,african-fantasy
"Kingdom of Souls (Kingdom of Souls, #1)",Rena Barron,https://www.goodreads.com/book/show/44596261-kingdom-of-souls,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557497574l/44596261._SX50_SY75_.jpg,3.72,5930.0,2019.0,african-fantasy
"Sorcerer to the Crown (Sorcerer Royal, #1)",Zen Cho,https://www.goodreads.com/book/show/23943137-sorcerer-to-the-crown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430239646l/23943137._SY75_.jpg,3.72,16030.0,2015.0,african-fantasy
"Twelve Kings in Sharakhai (The Song of the Shattered Sands, #1)",Bradley P. Beaulieu,https://www.goodreads.com/book/show/24611565-twelve-kings-in-sharakhai,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434513419l/24611565._SY75_.jpg,3.93,7685.0,2015.0,african-fantasy
David Mogo Godhunter (Paperback),Suyi Davies Okungbowa,https://www.goodreads.com/book/show/42201467-david-mogo-godhunter,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1538915452l/42201467._SY75_.jpg,3.61,1407.0,2019.0,african-fantasy
"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,https://www.goodreads.com/book/show/26228034-the-obelisk-gate,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660867781l/26228034._SY75_.jpg,4.28,200870.0,2016.0,african-fantasy
"The Kingdom of Copper (The Daevabad Trilogy, #2)",S.A. Chakraborty,https://www.goodreads.com/book/show/39988431-the-kingdom-of-copper,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533921102l/39988431._SY75_.jpg,4.38,94379.0,2019.0,african-fantasy
"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,https://www.goodreads.com/book/show/32718027-the-city-of-brass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491417547l/32718027._SX50_.jpg,4.14,159056.0,2017.0,african-fantasy
Redemption in Indigo (Paperback),Karen Lord,https://www.goodreads.com/book/show/7005878-redemption-in-indigo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1275423841l/7005878._SY75_.jpg,3.88,2991.0,2010.0,african-fantasy
My Life in the Bush of Ghosts (Paperback),Amos Tutuola,https://www.goodreads.com/book/show/1169073.My_Life_in_the_Bush_of_Ghosts,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603296991l/1169073._SY75_.jpg,3.71,1214.0,1954.0,african-fantasy
Wizard of the Crow (Hardcover),Ngũgĩ wa Thiong'o,https://www.goodreads.com/book/show/57485.Wizard_of_the_Crow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421903577l/57485._SY75_.jpg,4.23,3830.0,2004.0,african-fantasy
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,https://www.goodreads.com/book/show/37781.Things_Fall_Apart,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1708114013l/37781._SY75_.jpg,3.75,418400.0,1958.0,african-fantasy
"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,https://www.goodreads.com/book/show/30165203-american-gods,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462924585l/30165203._SY75_.jpg,4.1,996367.0,2001.0,african-fantasy
A Dance For the Dead (Paperback),Nuzo Onoh,https://www.goodreads.com/book/show/62616082-a-dance-for-the-dead,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666447771l/62616082._SY75_.jpg,4.06,52.0,,african-fantasy
The Waning (Age of Realignment #1),Wunmi Aramiji,https://www.goodreads.com/book/show/215045287-the-waning,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1718895869l/215045287._SY75_.jpg,3.66,342.0,,african-fantasy
Ògbójú Ọdẹ nínú Igbó Irúnmọlẹ̀ (Paperback),D.O. Fagunwa,https://www.goodreads.com/book/show/52686980-gb-j-d-n-n-igb-ir-nm-l,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564422483l/52686980._SX50_SY75_.jpg,4.11,881.0,1938.0,african-fantasy
The Lustrous Dark (Hardcover),Loretta Chefchaouni,https://www.goodreads.com/book/show/237145627-the-lustrous-dark,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1758598042l/237145627._SY75_.jpg,4.46,26.0,2026.0,african-fantasy
"A Song of Legends Lost (Invoker Trilogy, #1)",M.H. Ayinde,https://www.goodreads.com/book/show/202251782-a-song-of-legends-lost,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1719408835l/202251782._SY75_.jpg,3.88,1799.0,2025.0,african-fantasy
"Love in Colour: Mythical Tales from Around the World, Retold (Hardcover)",Bolu Babalola,https://www.goodreads.com/book/show/51102251-love-in-colour,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1612113029l/51102251._SY75_.jpg,3.93,17917.0,2020.0,african-fantasy
Shubeik Lubeik (ebook),Deena Mohamed,https://www.goodreads.com/book/show/60465407-shubeik-lubeik,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650494137l/60465407._SX50_.jpg,4.49,5067.0,2022.0,african-fantasy
"So You Want to Be a Villain? (A Practical Guide to Evil, #1)",ErraticErrata,https://www.goodreads.com/book/show/32195178-so-you-want-to-be-a-villain,https://s.gr-assets.com/assets/nophoto/book/50x75-1b903c9eac1b2ba789662c08a0ae41e6.png,4.28,2118.0,2015.0,african-fantasy
"The Revolution Will Not Be Civilized (A Practical Guide to Evil, #2)",ErraticErrata,https://www.goodreads.com/book/show/32195233-the-revolution-will-not-be-civilized,https://s.gr-assets.com/assets/nophoto/book/50x75-1b903c9eac1b2ba789662c08a0ae41e6.png,4.46,1328.0,2015.0,african-fantasy
"A Practical Guide to Evil IV (A Practical Guide to Evil, #4)",ErraticErrata,https://www.goodreads.com/book/show/40769494-a-practical-guide-to-evil-iv,https://s.gr-assets.com/assets/nophoto/book/50x75-1b903c9eac1b2ba789662c08a0ae41e6.png,4.52,896.0,2018.0,african-fantasy
Zahrah the Windseeker (Hardcover),Nnedi Okorafor,https://www.goodreads.com/book/show/1257586.Zahrah_the_Windseeker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347440766l/1257586._SY75_.jpg,4.16,2728.0,2005.0,african-fantasy
Lagoon (Paperback),Nnedi Okorafor,https://www.goodreads.com/book/show/18753656-lagoon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383619801l/18753656._SY75_.jpg,3.63,9383.0,2014.0,african-fantasy
"The Truth of the Aleke (Forever Desert, #2)",Moses Ose Utomi,https://www.goodreads.com/book/show/139397033-the-truth-of-the-aleke,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688669718l/139397033._SY75_.jpg,4.12,1662.0,2024.0,african-fantasy
The Great Savanna (Paperback),C O'Brien,https://www.goodreads.com/book/show/219274650-the-great-savanna,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1752613457l/219274650._SY75_.jpg,0.0,0.0,,african-fantasy
A Practical Guide to Evil I (Kindle Edition),ErraticErrata,https://www.goodreads.com/book/show/230158566-a-practical-guide-to-evil-i,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1742583565l/230158566._SY75_.jpg,4.43,658.0,,african-fantasy
"Black Salt Queen (Letters from Maynara, #1)",Samantha Bansil,https://www.goodreads.com/book/show/216601270-black-salt-queen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1727515978l/216601270._SY75_.jpg,3.88,419.0,2025.0,african-fantasy
"The Eternal Ones (Deathless, #3)",Namina Forna,https://www.goodreads.com/book/show/156738446-the-eternal-ones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1686314768l/156738446._SY75_.jpg,3.9,4829.0,2024.0,african-fantasy
"Warrior of the Wind (The Nameless Republic, #2)",Suyi Davies Okungbowa,https://www.goodreads.com/book/show/131124858-warrior-of-the-wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1685549667l/131124858._SY75_.jpg,4.05,402.0,2023.0,african-fantasy
Where the Dead Brides Gather (Paperback),Nuzo Onoh,https://www.goodreads.com/book/show/205762565-where-the-dead-brides-gather,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1721419547l/205762565._SY75_.jpg,3.51,614.0,2024.0,african-fantasy
Vagabonds! (Hardcover),Eloghosa Osunde,https://www.goodreads.com/book/show/58446230-vagabonds,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627324687l/58446230._SY75_.jpg,3.81,3407.0,2022.0,african-fantasy
"The Jasad Crown (The Scorched Throne, #2)",Sara  Hashem,https://www.goodreads.com/book/show/216623880-the-jasad-crown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1724995863l/216623880._SY75_.jpg,4.38,20483.0,2025.0,african-fantasy
"Faebound (Faebound, #1)",Saara El-Arifi,https://www.goodreads.com/book/show/157981739-faebound,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1695755226l/157981739._SY75_.jpg,3.53,29540.0,2024.0,african-fantasy
MILK OF THE SERPENT (Kindle Edition),BOLAJI ADEOLA,https://www.goodreads.com/book/show/221190755-milk-of-the-serpent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1730720251l/221190755._SX50_.jpg,0.0,0.0,,african-fantasy
The Dance of Shadows: The Aldiss Award-winning epic fantasy inspired by West African myth and magic (Song of Godhunters),Rogba Payne,https://www.goodreads.com/book/show/123345328-the-dance-of-shadows,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1697337484l/123345328._SY75_.jpg,4.2,120.0,2024.0,african-fantasy
Onyeka and the Heroes of the Dawn (Onyeka #3),Tọlá Okogwu,https://www.goodreads.com/book/show/199798459-onyeka-and-the-heroes-of-the-dawn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1706907716l/199798459._SY75_.jpg,4.15,206.0,2024.0,african-fantasy
"Mayowa and the Sea of Words: ‘Joyful and truly original’ – Katherine Rundell, author of Impossible Creatures (Kindle Edition)",Chibundu Onuzo,https://www.goodreads.com/book/show/201551785-mayowa-and-the-sea-of-words,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1719747824l/201551785._SY75_.jpg,3.99,239.0,2024.0,african-fantasy
Dream Count (Kindle Edition),Chimamanda Ngozi Adichie,https://www.goodreads.com/book/show/219521090-dream-count,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1727619577l/219521090._SY75_.jpg,3.77,49315.0,2025.0,african-fantasy
Gamuchirai Receiver (Kindle Edition),Nicole Tsopo,https://www.goodreads.com/book/show/229250400-gamuchirai-receiver,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1742224855l/229250400._SY75_.jpg,4.62,8.0,2024.0,african-fantasy
Habibi (Pantheon Graphic Library),Craig Thompson,https://www.goodreads.com/book/show/10138607-habibi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327899014l/10138607._SX50_.jpg,4.03,43684.0,2011.0,african-fantasy
